timestamp,side,price
1469404958343558,:a,1.09712
1469404958348231,:b,1.09708
1469404958348231,:a,1.09712
1469404958685423,:b,1.09707
1469404958685423,:a,1.09712
1469404958690374,:b,1.09707
1469404958690374,:a,1.09712
1469404958690401,:b,1.09707
1469404958690401,:a,1.09713
1469404958733899,:b,1.09707
1469404958733899,:a,1.09713
1469404958867212,:b,1.09708
1469404958867212,:a,1.09713
1469404959280254,:b,1.09707
1469404959280254,:a,1.09713
1469404959281108,:b,1.09707
1469404959281108,:a,1.09713
1469404959281119,:b,1.09707
1469404959281119,:a,1.09713
1469404959330955,:b,1.09707
1469404959330955,:a,1.09713
1469404959426090,:b,1.09707
1469404959426090,:a,1.09713
1469404959430630,:b,1.09708
1469404959430630,:a,1.09713
1469404959630618,:b,1.09708
1469404959630618,:a,1.09713
1469404959686919,:b,1.09707
1469404959686919,:a,1.09713
1469404959690721,:b,1.09706
1469404959690721,:a,1.09713
1469404959694590,:b,1.09706
1469404959694590,:a,1.09713
1469404959727216,:b,1.09706
1469404959727216,:a,1.09713
1469404959746929,:b,1.09707
1469404959746929,:a,1.09713
1469404959746972,:b,1.09707
1469404959746972,:a,1.09713
1469404959747316,:b,1.09707
1469404959747316,:a,1.09713
1469404959747500,:b,1.09707
1469404959747500,:a,1.09713
1469404959747535,:b,1.09707
1469404959747535,:a,1.09713
1469404959747535,:b,1.09707
1469404959747535,:a,1.09713
1469404959747547,:b,1.09707
1469404959747547,:a,1.09713
1469404959747557,:b,1.09707
1469404959747557,:a,1.09713
1469404959747592,:b,1.09707
1469404959747592,:a,1.09713
1469404959748091,:b,1.09707
1469404959748091,:a,1.09713
1469404959759778,:b,1.09707
1469404959759778,:a,1.09713
1469404959759793,:b,1.09707
1469404959759793,:a,1.09713
1469404959760276,:b,1.09707
1469404959760276,:a,1.09713
1469404959760301,:b,1.09707
1469404959760301,:a,1.09713
1469404959760310,:b,1.09707
1469404959760310,:a,1.09713
1469404959760434,:b,1.09707
1469404959760434,:a,1.09713
1469404959760811,:b,1.09707
1469404959760811,:a,1.09713
1469404959761529,:b,1.09707
1469404959761529,:a,1.09713
1469404959769922,:b,1.09707
1469404959769922,:a,1.09713
1469404959769937,:b,1.09707
1469404959769937,:a,1.09713
1469404959769941,:b,1.09707
1469404959769941,:a,1.09713
1469404959769978,:b,1.09707
1469404959769978,:a,1.09713
1469404959807630,:b,1.09707
1469404959807630,:a,1.09713
1469404959808918,:b,1.09708
1469404959808918,:a,1.09713
1469404959836688,:b,1.09708
1469404959836688,:a,1.09713
1469404959841563,:b,1.09708
1469404959841563,:a,1.09713
1469404959842124,:b,1.09708
1469404959842124,:a,1.09713
1469404959842169,:b,1.09709
1469404959842169,:a,1.09713
1469404959843212,:b,1.09709
1469404959843212,:a,1.09713
1469404959843217,:b,1.09709
1469404959843217,:a,1.09713
1469404959843218,:b,1.09709
1469404959843218,:a,1.09713
1469404959843254,:b,1.09709
1469404959843254,:a,1.09713
1469404959848679,:b,1.09709
1469404959848679,:a,1.09713
1469404959848692,:b,1.09709
1469404959848692,:a,1.09714
1469404959865008,:b,1.09709
1469404959865008,:a,1.09714
1469404959906761,:b,1.09709
1469404959906761,:a,1.09714
1469404959906773,:b,1.09709
1469404959906773,:a,1.09714
1469404959958925,:b,1.09709
1469404959958925,:a,1.09714
1469404960018049,:b,1.09709
1469404960018049,:a,1.09714
1469404960018355,:b,1.09709
1469404960018355,:a,1.09714
1469404960018379,:b,1.09709
1469404960018379,:a,1.09714
1469404960018396,:b,1.09709
1469404960018396,:a,1.09714
1469404960018468,:b,1.09709
1469404960018468,:a,1.09714
1469404960018477,:b,1.09709
1469404960018477,:a,1.09714
1469404960018499,:b,1.09709
1469404960018499,:a,1.09714
1469404960018561,:b,1.09709
1469404960018561,:a,1.09714
1469404960018569,:b,1.09709
1469404960018569,:a,1.09714
1469404960018669,:b,1.09709
1469404960018669,:a,1.09714
1469404960018735,:b,1.09709
1469404960018735,:a,1.09714
1469404960018741,:b,1.09709
1469404960018741,:a,1.09714
1469404960018742,:b,1.09709
1469404960018742,:a,1.09714
1469404960020898,:b,1.09709
1469404960020898,:a,1.09714
1469404960021377,:b,1.09709
1469404960021377,:a,1.09714
1469404960021395,:b,1.09709
1469404960021395,:a,1.09714
1469404960021397,:b,1.09709
1469404960021397,:a,1.09714
1469404960021418,:b,1.09709
1469404960021418,:a,1.09714
1469404960021937,:b,1.09709
1469404960021937,:a,1.09714
1469404960021942,:b,1.09709
1469404960021942,:a,1.09714
1469404960022087,:b,1.09709
1469404960022087,:a,1.09714
1469404960022158,:b,1.09709
1469404960022158,:a,1.09714
1469404960022633,:b,1.09709
1469404960022633,:a,1.09714
1469404960022685,:b,1.09709
1469404960022685,:a,1.09714
1469404960023102,:b,1.09709
1469404960023102,:a,1.09714
1469404960023743,:b,1.09709
1469404960023743,:a,1.09714
1469404960023993,:b,1.09709
1469404960023993,:a,1.09714
1469404960027447,:b,1.09709
1469404960027447,:a,1.09713
1469404960039975,:b,1.09709
